restWave,meanOffset,galWeight,qsoWeight,Name
1033.82,0.0,0.0,1.0,OVI
1215.67,0.0,0.0,9.0,Ly\\d\\ga
1240.81,-1.41,0.0,3.0,NV
1305.53,0.0,0.0,0.0,OI
1335.31,0.0,0.0,0.0,CII
1549.48,-3.62,0.0,8.0,CIV
1640.4,0.0,0.0,0.0,HeII
1665.85,0.0,0.0,0.0,OIII
1857.4,0.0,0.0,0.0,AlIII
1908.734,0.0,0.0,7.0,CIII
2326.0,0.0,0.0,0.5,CII
2439.5,0.0,0.0,0.0,NeIV
2799.117,1.203,1.0,8.0,MgII
3346.79,0.0,0.0,0.0,NeV
3426.85,0.0,0.0,0.0,NeV
3727.092,1.208,5.0,1.0,OII
3729.875,0.0,0.0,0.0,OII
3798.976,0.0,-1.0,0.0,H\\d\\gh
3836.47,0.0,-1.0,0.0,H\\d\\gy
3889.0,0.0,-1.0,0.0,HeI
3934.777,0.0,-1.0,0.0,K
3969.588,0.0,-1.0,0.0,H
4072.3,0.0,0.0,0.0,SII
4102.89,0.0,0.5,2.0,H\\d\\gd
4305.61,0.0,-1.0,0.0,G
4341.68,0.0,1.0,3.0,H\\d\\gg
4364.436,0.0,0.0,0.0,OIII
4862.68,0.0,2.0,4.0,H\\d\\gb
4960.295,0.0,2.0,2.0,OIII
5008.240,0.0,3.0,2.0,OIII
5176.7,0.0,-1.0,0.0,Mg
5895.6,0.0,-1.0,0.0,Na
6302.046,0.0,0.0,0.0,OI
6365.536,0.0,0.0,0.0,OI
6549.86,0.0,3.0,0.0,NII
6564.61,0.0,8.0,8.0,H\\d\\ga
6585.27,0.0,3.0,0.0,NII
6707.89,0.0,0.0,0.0,Li
6718.29,0.0,3.0,0.0,SII
6732.67,0.0,3.0,0.0,SII
8500.36,0.0,0.0,0.0,CaII
8544.44,0.0,0.0,0.0,CaII
8664.52,0.0,0.0,0.0,CaII

